feature,importance
G2,0.7932543523222856
absences,0.11009326199749649
reason_home,0.0210864736343439
age,0.010433256538222876
G1,0.005979026331950491
famrel,0.005260278617795309
goout,0.004839769608983772
health,0.004189633759857863
activities_yes,0.003933435896903122
studytime,0.003696659542484607
romantic_yes,0.0032683243976749836
Walc,0.0030051498628682234
guardian_mother,0.002543193575430351
schoolsup_yes,0.0021978059918998302
Fedu,0.002193024197104673
freetime,0.0021422739493029397
guardian_other,0.001862612707213576
Fjob_services,0.0016503470215023365
Medu,0.0014335272122322504
Fjob_other,0.0013811049423398793
Mjob_teacher,0.0013421910110818734
Mjob_other,0.0011548258213229122
failures,0.001123045396941972
reason_other,0.0011227709743202674
traveltime,0.0011200480555140998
Dalc,0.0010623496625651234
paid_yes,0.0008540906506642843
reason_reputation,0.0008365299062101907
sex_M,0.0008166539592074827
internet_yes,0.000801846546329109
famsize_LE3,0.0007599285002505847
famsup_yes,0.0006804737782522609
address_U,0.0006194713332609016
Fjob_health,0.0005937730372735717
Mjob_services,0.0005338310932830239
Fjob_teacher,0.00047096648306181496
Mjob_health,0.0004585072390939575
Pstatus_T,0.00039589776388615185
nursery_yes,0.0003750512693491751
school_MS,0.00022246315843159285
higher_yes,0.00021177225180658672
